label,lirik,Data Cleaning,Case Folding,Normalisasi,Tokenisasi,Stopword Removal,Stemming,Rejoin
anger,Aku terperangkap muslihatmu,Aku terperangkap muslihatmu,aku terperangkap muslihatmu,aku terperangkap muslihatmu,"['aku', 'terperangkap', 'muslihatmu']","['terperangkap', 'muslihatmu']","['perangkap', 'muslihat']",perangkap muslihat
anger,Aku tertipu aku terjebak,Aku tertipu aku terjebak,aku tertipu aku terjebak,aku tertipu aku terjebak,"['aku', 'tertipu', 'aku', 'terjebak']","['tertipu', 'terjebak']","['tipu', 'jebak']",tipu jebak
anger,Aku tertipu dan aku terjebak,Aku tertipu dan aku terjebak,aku tertipu dan aku terjebak,aku tertipu dan aku terjebak,"['aku', 'tertipu', 'dan', 'aku', 'terjebak']","['tertipu', 'terjebak']","['tipu', 'jebak']",tipu jebak
anger,amarah dan dendam tak bisa lagi untuk kita warisi,amarah dan dendam tak bisa lagi untuk kita warisi,amarah dan dendam tak bisa lagi untuk kita warisi,amarah dan dendam tidak bisa lagi untuk kita warisi,"['amarah', 'dan', 'dendam', 'tidak', 'bisa', 'lagi', 'untuk', 'kita', 'warisi']","['amarah', 'dendam', 'warisi']","['amarah', 'dendam', 'waris']",amarah dendam waris
anger,Ambillah kekasihku,Ambillah kekasihku,ambillah kekasihku,ambillah kekasihku,"['ambillah', 'kekasihku']","['ambillah', 'kekasihku']","['ambil', 'kasih']",ambil kasih
anger,Anak jalanan,Anak jalanan,anak jalanan,anak jalanan,"['anak', 'jalanan']","['anak', 'jalanan']","['anak', 'jalan']",anak jalan
anger,Apa mauku,Apa mauku,apa mauku,apa mauku,"['apa', 'mauku']",['mauku'],['mau'],mau
anger,Apa maumu?,Apa maumu ,apa maumu ,apa maumu,"['apa', 'maumu']",['maumu'],['mau'],mau
anger,Apa tak kau rasakan,Apa tak kau rasakan,apa tak kau rasakan,apa tidak kamu rasakan,"['apa', 'tidak', 'kamu', 'rasakan']",['rasakan'],['rasa'],rasa
anger,Apa yang aku lakukan,Apa yang aku lakukan,apa yang aku lakukan,apa yang aku lakukan,"['apa', 'yang', 'aku', 'lakukan']",['lakukan'],['laku'],laku
anger,Apa yang kulakukan tak pernah benar di matamu,Apa yang kulakukan tak pernah benar di matamu,apa yang kulakukan tak pernah benar di matamu,apa yang kulakukan tidak pernah benar di matamu,"['apa', 'yang', 'kulakukan', 'tidak', 'pernah', 'benar', 'di', 'matamu']","['kulakukan', 'matamu']","['laku', 'mata']",laku mata
anger,apa yang membuat dirimu untuk terus di sini,apa yang membuat dirimu untuk terus di sini,apa yang membuat dirimu untuk terus di sini,apa yang membuat dirimu untuk terus di sini,"['apa', 'yang', 'membuat', 'dirimu', 'untuk', 'terus', 'di', 'sini']",['dirimu'],['diri'],diri
anger,Apa-apa ku tanggung sendiri,Apa apa ku tanggung sendiri,apa apa ku tanggung sendiri,apa apa ku tanggung sendiri,"['apa', 'apa', 'ku', 'tanggung', 'sendiri']","['ku', 'tanggung']","['ku', 'tanggung']",ku tanggung
anger,Apakah ini balasan untuk,Apakah ini balasan untuk,apakah ini balasan untuk,apakah ini balasan untuk,"['apakah', 'ini', 'balasan', 'untuk']",['balasan'],['balas'],balas
anger,Apakah kau mau aku jadi tak peduli,Apakah kau mau aku jadi tak peduli,apakah kau mau aku jadi tak peduli,apakah kamu mau aku jadi tidak peduli,"['apakah', 'kamu', 'mau', 'aku', 'jadi', 'tidak', 'peduli']",['peduli'],['peduli'],peduli
anger,Apalagi nggak mikirin kamu,Apalagi nggak mikirin kamu,apalagi nggak mikirin kamu,apalagi tidak mikirin kamu,"['apalagi', 'tidak', 'mikirin', 'kamu']",['mikirin'],['mikirin'],mikirin
anger,Api,Api,api,api,['api'],['api'],['api'],api
anger,bagimu bagiku bagimu bagiku,bagimu bagiku bagimu bagiku,bagimu bagiku bagimu bagiku,bagimu bagiku bagimu bagiku,"['bagimu', 'bagiku', 'bagimu', 'bagiku']","['bagimu', 'bagiku', 'bagimu', 'bagiku']","['bagi', 'bagi', 'bagi', 'bagi']",bagi bagi bagi bagi
anger,bagimu bagiku bagimu bagiku bagimu bagiku,bagimu bagiku bagimu bagiku bagimu bagiku,bagimu bagiku bagimu bagiku bagimu bagiku,bagimu bagiku bagimu bagiku bagimu bagiku,"['bagimu', 'bagiku', 'bagimu', 'bagiku', 'bagimu', 'bagiku']","['bagimu', 'bagiku', 'bagimu', 'bagiku', 'bagimu', 'bagiku']","['bagi', 'bagi', 'bagi', 'bagi', 'bagi', 'bagi']",bagi bagi bagi bagi bagi bagi
anger,Bahwa ada manusia seperti kamu,Bahwa ada manusia seperti kamu,bahwa ada manusia seperti kamu,bahwa ada manusia seperti kamu,"['bahwa', 'ada', 'manusia', 'seperti', 'kamu']",['manusia'],['manusia'],manusia
anger,Bahwa kau slalu meniadakan aku,Bahwa kau slalu meniadakan aku,bahwa kau slalu meniadakan aku,bahwa kamu selalu meniadakan aku,"['bahwa', 'kamu', 'selalu', 'meniadakan', 'aku']",['meniadakan'],['tiada'],tiada
anger,Begitu kerasnya kepalamu,Begitu kerasnya kepalamu,begitu kerasnya kepalamu,begitu kerasnya kepalamu,"['begitu', 'kerasnya', 'kepalamu']","['kerasnya', 'kepalamu']","['keras', 'kepala']",keras kepala
anger,Begitu kerasnya sikapmu,Begitu kerasnya sikapmu,begitu kerasnya sikapmu,begitu kerasnya sikapmu,"['begitu', 'kerasnya', 'sikapmu']","['kerasnya', 'sikapmu']","['keras', 'sikap']",keras sikap
anger,Benarpun aku selalu keliru,Benarpun aku selalu keliru,benarpun aku selalu keliru,benarpun aku selalu keliru,"['benarpun', 'aku', 'selalu', 'keliru']","['benarpun', 'keliru']","['benar', 'keliru']",benar keliru
anger,Benarpun aku selalu kelirua,Benarpun aku selalu kelirua,benarpun aku selalu kelirua,benarpun aku selalu kelirua,"['benarpun', 'aku', 'selalu', 'kelirua']","['benarpun', 'kelirua']","['benar', 'kelirua']",benar kelirua
anger,Bencinya hati ini,Bencinya hati ini,bencinya hati ini,bencinya hati ini,"['bencinya', 'hati', 'ini']","['bencinya', 'hati']","['benci', 'hati']",benci hati
anger,Bencinya hati padamu,Bencinya hati padamu,bencinya hati padamu,bencinya hati padamu,"['bencinya', 'hati', 'padamu']","['bencinya', 'hati', 'padamu']","['benci', 'hati', 'pada']",benci hati pada
anger,Berani karena benar,Berani karena benar,berani karena benar,berani karena benar,"['berani', 'karena', 'benar']",['berani'],['berani'],berani
anger,Berat bebanku,Berat bebanku,berat bebanku,berat bebanku,"['berat', 'bebanku']","['berat', 'bebanku']","['berat', 'beban']",berat beban
anger,berbagi kasih dengan dirinya,berbagi kasih dengan dirinya,berbagi kasih dengan dirinya,berbagi kasih dengan dirinya,"['berbagi', 'kasih', 'dengan', 'dirinya']","['berbagi', 'kasih']","['bagi', 'kasih']",bagi kasih
anger,Berbuat baik jika kau dilihat orang,Berbuat baik jika kau dilihat orang,berbuat baik jika kau dilihat orang,berbuat baik jika kamu dilihat orang,"['berbuat', 'baik', 'jika', 'kamu', 'dilihat', 'orang']","['berbuat', 'orang']","['buat', 'orang']",buat orang
anger,bergemerulah lara ini,bergemerulah lara ini,bergemerulah lara ini,bergemerulah lara ini,"['bergemerulah', 'lara', 'ini']","['bergemerulah', 'lara']","['gulah', 'lara']",gulah lara
anger,Berkata halus jika kau didengar orang,Berkata halus jika kau didengar orang,berkata halus jika kau didengar orang,berkata halus jika kamu didengar orang,"['berkata', 'halus', 'jika', 'kamu', 'didengar', 'orang']","['halus', 'didengar', 'orang']","['halus', 'dengar', 'orang']",halus dengar orang
anger,Bermain dan permainkan aku,Bermain dan permainkan aku,bermain dan permainkan aku,bermain dan permainkan aku,"['bermain', 'dan', 'permainkan', 'aku']","['bermain', 'permainkan']","['main', 'main']",main main
anger,Betapa hancur,Betapa hancur,betapa hancur,betapa hancur,"['betapa', 'hancur']","['betapa', 'hancur']","['betapa', 'hancur']",betapa hancur
anger,Biarkan berlalu,Biarkan berlalu,biarkan berlalu,biarkan berlalu,"['biarkan', 'berlalu']",['biarkan'],['biar'],biar
anger,Biarkan ku sendiri,Biarkan ku sendiri,biarkan ku sendiri,biarkan ku sendiri,"['biarkan', 'ku', 'sendiri']","['biarkan', 'ku']","['biar', 'ku']",biar ku
anger,Biarkanlah kubegini ini hidupku,Biarkanlah kubegini ini hidupku,biarkanlah kubegini ini hidupku,biarkanlah kubegini ini hidupku,"['biarkanlah', 'kubegini', 'ini', 'hidupku']","['biarkanlah', 'kubegini', 'hidupku']","['biar', 'begini', 'hidup']",biar begini hidup
anger,Biarkanlah kubegini ini jalanku,Biarkanlah kubegini ini jalanku,biarkanlah kubegini ini jalanku,biarkanlah kubegini ini jalanku,"['biarkanlah', 'kubegini', 'ini', 'jalanku']","['biarkanlah', 'kubegini', 'jalanku']","['biar', 'begini', 'jalan']",biar begini jalan
anger,Biarkanlah kubegini ini mauku,Biarkanlah kubegini ini mauku,biarkanlah kubegini ini mauku,biarkanlah kubegini ini mauku,"['biarkanlah', 'kubegini', 'ini', 'mauku']","['biarkanlah', 'kubegini', 'mauku']","['biar', 'begini', 'mau']",biar begini mau
anger,Biarkanlah kutentukan jalanku,Biarkanlah kutentukan jalanku,biarkanlah kutentukan jalanku,biarkanlah kutentukan jalanku,"['biarkanlah', 'kutentukan', 'jalanku']","['biarkanlah', 'kutentukan', 'jalanku']","['biar', 'tentu', 'jalan']",biar tentu jalan
anger,Biarkanlah kutentukan sikapku,Biarkanlah kutentukan sikapku,biarkanlah kutentukan sikapku,biarkanlah kutentukan sikapku,"['biarkanlah', 'kutentukan', 'sikapku']","['biarkanlah', 'kutentukan', 'sikapku']","['biar', 'tentu', 'sikap']",biar tentu sikap
anger,Biarkanlah semua,Biarkanlah semua,biarkanlah semua,biarkanlah semua,"['biarkanlah', 'semua']",['biarkanlah'],['biar'],biar
anger,Bias melayang Hancur Musnah Alam pun murka,Bias melayang Hancur Musnah Alam pun murka,bias melayang hancur musnah alam pun murka,bias melayang hancur musnah alam pun murka,"['bias', 'melayang', 'hancur', 'musnah', 'alam', 'pun', 'murka']","['bias', 'melayang', 'hancur', 'musnah', 'alam', 'murka']","['bias', 'layang', 'hancur', 'musnah', 'alam', 'murka']",bias layang hancur musnah alam murka
anger,Bikin ide makin kering,Bikin ide makin kering,bikin ide makin kering,bikin ide makin kering,"['bikin', 'ide', 'makin', 'kering']","['bikin', 'ide', 'kering']","['bikin', 'ide', 'kering']",bikin ide kering
anger,Bikin pusing,Bikin pusing,bikin pusing,bikin pusing,"['bikin', 'pusing']","['bikin', 'pusing']","['bikin', 'pusing']",bikin pusing
anger,Bila kau tak bisa setia,Bila kau tak bisa setia,bila kau tak bisa setia,bila kamu tidak bisa setia,"['bila', 'kamu', 'tidak', 'bisa', 'setia']",['setia'],['setia'],setia
anger,Bila kau tak sanggup setia,Bila kau tak sanggup setia,bila kau tak sanggup setia,bila kamu tidak sanggup setia,"['bila', 'kamu', 'tidak', 'sanggup', 'setia']","['sanggup', 'setia']","['sanggup', 'setia']",sanggup setia
anger,Bila ku jadi cadangan cintamu,Bila ku jadi cadangan cintamu,bila ku jadi cadangan cintamu,bila ku jadi cadangan cintamu,"['bila', 'ku', 'jadi', 'cadangan', 'cintamu']","['ku', 'cadangan', 'cintamu']","['ku', 'cadang', 'cinta']",ku cadang cinta
anger,Bila ku jadi simpanan cintamu,Bila ku jadi simpanan cintamu,bila ku jadi simpanan cintamu,bila ku jadi simpanan cintamu,"['bila', 'ku', 'jadi', 'simpanan', 'cintamu']","['ku', 'simpanan', 'cintamu']","['ku', 'simpan', 'cinta']",ku simpan cinta
anger,Binatang jalang,Binatang jalang,binatang jalang,binatang jalang,"['binatang', 'jalang']","['binatang', 'jalang']","['binatang', 'jalang']",binatang jalang
anger,Bisa bisanya aku tekena,Bisa bisanya aku tekena,bisa bisanya aku tekena,bisa bisanya aku tekena,"['bisa', 'bisanya', 'aku', 'tekena']","['bisanya', 'tekena']","['bisa', 'tekena']",bisa tekena
anger,Bisa bisanya aku terlena,Bisa bisanya aku terlena,bisa bisanya aku terlena,bisa bisanya aku terlena,"['bisa', 'bisanya', 'aku', 'terlena']","['bisanya', 'terlena']","['bisa', 'lena']",bisa lena
anger,Bisa buat aku sinting,Bisa buat aku sinting,bisa buat aku sinting,bisa buat aku sinting,"['bisa', 'buat', 'aku', 'sinting']",['sinting'],['sinting'],sinting
anger,Bosan di kamar enggan keluar,Bosan di kamar enggan keluar,bosan di kamar enggan keluar,bosan di kamar enggan keluar,"['bosan', 'di', 'kamar', 'enggan', 'keluar']","['bosan', 'kamar', 'enggan']","['bosan', 'kamar', 'enggan']",bosan kamar enggan
anger,Bosan diriku meredam emosi,Bosan diriku meredam emosi,bosan diriku meredam emosi,bosan diriku meredam emosi,"['bosan', 'diriku', 'meredam', 'emosi']","['bosan', 'diriku', 'meredam', 'emosi']","['bosan', 'diri', 'redam', 'emosi']",bosan diri redam emosi
anger,Buang semua cerita,Buang semua cerita,buang semua cerita,buang semua cerita,"['buang', 'semua', 'cerita']","['buang', 'cerita']","['buang', 'cerita']",buang cerita
anger,Buat apa kau bermuram durja,Buat apa kau bermuram durja,buat apa kau bermuram durja,buat apa kamu bermuram durja,"['buat', 'apa', 'kamu', 'bermuram', 'durja']","['bermuram', 'durja']","['muram', 'durja']",muram durja
anger,Bukannya aku sok tahu,Bukannya aku sok tahu,bukannya aku sok tahu,bukannya aku sok tahu,"['bukannya', 'aku', 'sok', 'tahu']",['sok'],['sok'],sok
anger,Caci maki saja diriku,Caci maki saja diriku,caci maki saja diriku,caci maki saja diriku,"['caci', 'maki', 'saja', 'diriku']","['caci', 'maki', 'diriku']","['caci', 'maki', 'diri']",caci maki diri
anger,Cari saja orang yang mau menerima gayamu,Cari saja orang yang mau menerima gayamu,cari saja orang yang mau menerima gayamu,cari saja orang yang mau menerima gayamu,"['cari', 'saja', 'orang', 'yang', 'mau', 'menerima', 'gayamu']","['cari', 'orang', 'menerima', 'gayamu']","['cari', 'orang', 'terima', 'gaya']",cari orang terima gaya
anger,Cerita kita tuk putus saja,Cerita kita tuk putus saja,cerita kita tuk putus saja,cerita kita untuk putus saja,"['cerita', 'kita', 'untuk', 'putus', 'saja']","['cerita', 'putus']","['cerita', 'putus']",cerita putus
anger,Cintamu palsu sayangmu semu,Cintamu palsu sayangmu semu,cintamu palsu sayangmu semu,cintamu palsu sayangmu semu,"['cintamu', 'palsu', 'sayangmu', 'semu']","['cintamu', 'palsu', 'sayangmu', 'semu']","['cinta', 'palsu', 'sayang', 'semu']",cinta palsu sayang semu
anger,Cintamu telah kau permainkan,Cintamu telah kau permainkan,cintamu telah kau permainkan,cintamu telah kamu permainkan,"['cintamu', 'telah', 'kamu', 'permainkan']","['cintamu', 'permainkan']","['cinta', 'main']",cinta main
anger,Cobalah kau mengerti,Cobalah kau mengerti,cobalah kau mengerti,cobalah kamu mengerti,"['cobalah', 'kamu', 'mengerti']","['cobalah', 'mengerti']","['coba', 'erti']",coba erti
anger,Cuma bikin aku tolol,Cuma bikin aku tolol,cuma bikin aku tolol,cuma bikin aku tolol,"['cuma', 'bikin', 'aku', 'tolol']","['bikin', 'tolol']","['bikin', 'tolol']",bikin tolol
anger,Curiga dan juga cemburu,Curiga dan juga cemburu,curiga dan juga cemburu,curiga dan juga cemburu,"['curiga', 'dan', 'juga', 'cemburu']","['curiga', 'cemburu']","['curiga', 'cemburu']",curiga cemburu
anger,Dan harus punya nyali,Dan harus punya nyali,dan harus punya nyali,dan harus punya nyali,"['dan', 'harus', 'punya', 'nyali']",['nyali'],['nyali'],nyali
anger,Dan kini kau benci benci... benci aku...,Dan kini kau benci benci    benci aku   ,dan kini kau benci benci    benci aku   ,dan kini kamu benci benci benci aku,"['dan', 'kini', 'kamu', 'benci', 'benci', 'benci', 'aku']","['benci', 'benci', 'benci']","['benci', 'benci', 'benci']",benci benci benci
anger,Dan kini yang kurasakan,Dan kini yang kurasakan,dan kini yang kurasakan,dan kini yang kurasakan,"['dan', 'kini', 'yang', 'kurasakan']",['kurasakan'],['rasa'],rasa
anger,Dan memaksa diri ini mengusirmu pergi dari hati,Dan memaksa diri ini mengusirmu pergi dari hati,dan memaksa diri ini mengusirmu pergi dari hati,dan memaksa diri ini mengusirmu pergi dari hati,"['dan', 'memaksa', 'diri', 'ini', 'mengusirmu', 'pergi', 'dari', 'hati']","['memaksa', 'mengusirmu', 'pergi', 'hati']","['paksa', 'usir', 'pergi', 'hati']",paksa usir pergi hati
anger,Dan Saat Segala Upaya Terasa Hampa,Dan Saat Segala Upaya Terasa Hampa,dan saat segala upaya terasa hampa,dan saat segala upaya terasa hampa,"['dan', 'saat', 'segala', 'upaya', 'terasa', 'hampa']","['upaya', 'hampa']","['upaya', 'hampa']",upaya hampa
anger,Dan semua ternyata dusta belaka,Dan semua ternyata dusta belaka,dan semua ternyata dusta belaka,dan semua ternyata dusta belaka,"['dan', 'semua', 'ternyata', 'dusta', 'belaka']","['dusta', 'belaka']","['dusta', 'belaka']",dusta belaka
anger,Dan slalu saja kau berkeras hati,Dan slalu saja kau berkeras hati,dan slalu saja kau berkeras hati,dan selalu saja kamu berkeras hati,"['dan', 'selalu', 'saja', 'kamu', 'berkeras', 'hati']","['berkeras', 'hati']","['keras', 'hati']",keras hati
anger,Dan tak bisa perasaan ku,Dan tak bisa perasaan ku,dan tak bisa perasaan ku,dan tidak bisa perasaan ku,"['dan', 'tidak', 'bisa', 'perasaan', 'ku']","['perasaan', 'ku']","['asa', 'ku']",asa ku
anger,Debat sana debat sini,Debat sana debat sini,debat sana debat sini,debat sana debat sini,"['debat', 'sana', 'debat', 'sini']","['debat', 'debat']","['debat', 'debat']",debat debat
anger,Dengan kamu kepala batu,Dengan kamu kepala batu,dengan kamu kepala batu,dengan kamu kepala batu,"['dengan', 'kamu', 'kepala', 'batu']","['kepala', 'batu']","['kepala', 'batu']",kepala batu
anger,Dengan kamu tak kuat aku,Dengan kamu tak kuat aku,dengan kamu tak kuat aku,dengan kamu tidak kuat aku,"['dengan', 'kamu', 'tidak', 'kuat', 'aku']",['kuat'],['kuat'],kuat
anger,Dengan Rasa Yang Tak Pernah Kan Terjawab,Dengan Rasa Yang Tak Pernah Kan Terjawab,dengan rasa yang tak pernah kan terjawab,dengan rasa yang tidak pernah akan terjawab,"['dengan', 'rasa', 'yang', 'tidak', 'pernah', 'akan', 'terjawab']",['terjawab'],['jawab'],jawab
anger,Dengan wanita sesuka hatimu,Dengan wanita sesuka hatimu,dengan wanita sesuka hatimu,dengan wanita sesuka hatimu,"['dengan', 'wanita', 'sesuka', 'hatimu']","['wanita', 'sesuka', 'hatimu']","['wanita', 'suka', 'hati']",wanita suka hati
anger,Dengan wanita yang pernah menghancurkanku,Dengan wanita yang pernah menghancurkanku,dengan wanita yang pernah menghancurkanku,dengan wanita yang pernah menghancurkanku,"['dengan', 'wanita', 'yang', 'pernah', 'menghancurkanku']","['wanita', 'menghancurkanku']","['wanita', 'hancur']",wanita hancur
anger,Di akhir yang menyakitkan,Di akhir yang menyakitkan,di akhir yang menyakitkan,di akhir yang menyakitkan,"['di', 'akhir', 'yang', 'menyakitkan']",['menyakitkan'],['sakit'],sakit
anger,Di dalam sebuah kisah yang salah,Di dalam sebuah kisah yang salah,di dalam sebuah kisah yang salah,di dalam sebuah kisah yang salah,"['di', 'dalam', 'sebuah', 'kisah', 'yang', 'salah']","['kisah', 'salah']","['kisah', 'salah']",kisah salah
anger,Di depan mataku,Di depan mataku,di depan mataku,di depan mataku,"['di', 'depan', 'mataku']",['mataku'],['mata'],mata
anger,Di lubuk hatiku berbicara  berbisik dan terus meminta,Di lubuk hatiku berbicara  berbisik dan terus meminta,di lubuk hatiku berbicara  berbisik dan terus meminta,di lubuk hatiku berbicara berbisik dan terus meminta,"['di', 'lubuk', 'hatiku', 'berbicara', 'berbisik', 'dan', 'terus', 'meminta']","['lubuk', 'hatiku', 'berbicara', 'berbisik']","['lubuk', 'hati', 'bicara', 'bisik']",lubuk hati bicara bisik
anger,Dia ingin memilikimu,Dia ingin memilikimu,dia ingin memilikimu,dia ingin memilikimu,"['dia', 'ingin', 'memilikimu']",['memilikimu'],['milik'],milik
anger,Didepan matamu ku selalu keliru,Didepan matamu ku selalu keliru,didepan matamu ku selalu keliru,didepan matamu ku selalu keliru,"['didepan', 'matamu', 'ku', 'selalu', 'keliru']","['didepan', 'matamu', 'ku', 'keliru']","['depan', 'mata', 'ku', 'keliru']",depan mata ku keliru
anger,Dimana arti sebuah kesetiaan,Dimana arti sebuah kesetiaan,dimana arti sebuah kesetiaan,dimana arti sebuah kesetiaan,"['dimana', 'arti', 'sebuah', 'kesetiaan']","['dimana', 'arti', 'kesetiaan']","['mana', 'arti', 'setia']",mana arti setia
anger,Diriku yang tlah kau sakiti,Diriku yang tlah kau sakiti,diriku yang tlah kau sakiti,diriku yang telah kamu sakiti,"['diriku', 'yang', 'telah', 'kamu', 'sakiti']","['diriku', 'sakiti']","['diri', 'sakit']",diri sakit
anger,Dirimu yang telah tega lukai,Dirimu yang telah tega lukai,dirimu yang telah tega lukai,dirimu yang telah tega lukai,"['dirimu', 'yang', 'telah', 'tega', 'lukai']","['dirimu', 'tega', 'lukai']","['diri', 'tega', 'luka']",diri tega luka
anger,Dunia semakin tak terkendali,Dunia semakin tak terkendali,dunia semakin tak terkendali,dunia semakin tidak terkendali,"['dunia', 'semakin', 'tidak', 'terkendali']","['dunia', 'terkendali']","['dunia', 'kendali']",dunia kendali
anger,Duniaku jadi miring,Duniaku jadi miring,duniaku jadi miring,duniaku jadi miring,"['duniaku', 'jadi', 'miring']","['duniaku', 'miring']","['dunia', 'miring']",dunia miring
anger,Dzolimi orang pun selalu dilakukan,Dzolimi orang pun selalu dilakukan,dzolimi orang pun selalu dilakukan,dzolimi orang pun selalu dilakukan,"['dzolimi', 'orang', 'pun', 'selalu', 'dilakukan']","['dzolimi', 'orang']","['dzolimi', 'orang']",dzolimi orang
anger,Ego ku ego mu mengajar kita tuk berhenti sejenak,Ego ku ego mu mengajar kita tuk berhenti sejenak,ego ku ego mu mengajar kita tuk berhenti sejenak,emosi ku emosi mu mengajar kita untuk berhenti sejenak,"['emosi', 'ku', 'emosi', 'mu', 'mengajar', 'kita', 'untuk', 'berhenti', 'sejenak']","['emosi', 'ku', 'emosi', 'mu', 'mengajar', 'berhenti']","['emosi', 'ku', 'emosi', 'mu', 'ajar', 'henti']",emosi ku emosi mu ajar henti
anger,Engkau selalu cemburu,Engkau selalu cemburu,engkau selalu cemburu,engkau selalu cemburu,"['engkau', 'selalu', 'cemburu']","['engkau', 'cemburu']","['engkau', 'cemburu']",engkau cemburu
anger,Entah bagaimana Diriku harus melangkah,Entah bagaimana Diriku harus melangkah,entah bagaimana diriku harus melangkah,entah bagaimana diriku harus melangkah,"['entah', 'bagaimana', 'diriku', 'harus', 'melangkah']","['diriku', 'melangkah']","['diri', 'lang']",diri lang
